书号_x0000__x0000_,商品名称_x0000__x0000__x0000__x0000_,定价名称,总订数称_x0000__x0000_,码洋数称,出版社称_x0000__x0000_,编码社称
9787500793144,骆驼寻宝记--共和国儿童文学金奖文库1949-2009[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,28.00,1,28,中国少年0--共,75007931400028000000
9787500790143,外国神话故事--中国孩子必读经典故事丛书49-2009[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000_,19.80,1,19.8,中国少年0事--,75007901400019800000
9787500790167,伊索寓言故事--中国孩子必读经典故事丛书49-2009[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000_,19.80,1,19.8,中国少年0事--,75007901600019800000
9787500790136,中外益智故事（美绘版）--中国孩子必读经典故事丛书09[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,19.80,1,19.8,中国少年0事（美,75007901300019800000
9787539146744,中国儿童文学探索作品集1988-2007典故事丛书09[美绘版,29.80,1,29.8,21世纪0学,75391467400029800000
9787539137810,弗朗兹的故事--彩乌鸦系列9800000典故事丛,9.80,1,9.8,21世纪故事,75391378100009800000
9787539150772,秘密社团女生--常春藤联盟校园小说(1)典故事丛书09[美绘版]_x0000__x0000__x0000_,19.80,1,19.8,21世纪0生,75391507700019800000
9787539140070,野狼歌唱家罗克--皮皮鲁总动员大灰狼罗克系列事丛书09[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,12.00,1,12,21世纪0罗,75391400700012000000
9787500799276,木棉.流年--儿童文学金牌作家书系000系列事丛书09[美绘版,16.00,1,16,中国少年0--儿,75007992700016000000
9787514802689,耗子哭巴精传奇--怪老头儿的动物园000系列事丛书09[美绘版],10.00,1,10,少年儿童0传奇-,75148026800010000000
9787500799825,一支铅笔的诞生--皇冠儿童文学悦读丛书0系列事丛书09[美绘版]_x0000__x0000__x0000__x0000_,15.00,1,15,中国少年0诞生-,75007998200015000000
9787514801705,马王--草原动物系列70550000,8.00,1,8,少年儿童草原动物,75148017000008000000
9787500795346,弓(美绘版)--中国当代儿童文学名家丛书系列事丛书09[美绘版]_x0000__x0000__x0000__x0000_,29.80,1,29.8,中国少年0)--,75007953400029800000
9787500791157,我叫猪坚强--霞子动物童话城堡00000系列事丛书09[,18.00,1,18,中国少年0--霞,75007911500018000000
9787500795438,我飞了(美绘版)--中国当代儿童文学名家丛书事丛书09[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,29.80,1,29.8,中国少年0绘版),75007954300029800000
9787500798958,今年你七岁--全国优秀儿童文学奖作品精粹丛书事丛书09[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000_,14.00,1,14,中国少年0--全,75007989500014000002
9787514806069,春妮--儿童文学金牌作家书系000002丛书事丛书0,19.00,1,19,少年儿童0童文学,75148060600019000000
9787500792475,佛光镇和秘密--少年侦探系列000000丛书事丛书0,12.00,1,12,中国少年0密--,75007924700012000002
9787500799016,细米--全国优秀儿童文学奖作品精粹002丛书事丛书09[美绘版],19.00,1,19,中国少年0国优秀,75007990100019000000
9787500793656,白牛--儿童文学典藏书库人与动物系列丛书丛书事丛书09[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000_,19.00,1,19,中国少年0童文学,75007936500019000000
9787514802665,2010年全国优秀儿童文学精选集美绘版--童话散文卷9[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,25.00,1,25,少年儿童0全国优,75148026600025000002
9787500791065,中国人物故事全书(彩色美绘版)--少年英才童话散文卷9[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000_,24.50,1,24.5,中国少年0事全书,75007910600024500002
9787514803167,野性的呼唤(全译本)--世界儿童文学传世经典话散文卷9[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,12.00,1,12,少年儿童0(全译,75148031600012000000
9787514803136,大森林里的小木屋(全译本)--世界儿童文学传世经典卷9[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,13.00,1,13,少年儿童0小木屋,75148031300013000000
9787500795506,斑马本子--郑春华童话珍藏版000000学传世经典卷,24.80,1,24.8,中国少年0-郑春,75007955000024800000
9787514801248,我的小学向前冲安全故事--提高孩子安全指数的14个故事[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,18.00,1,18,少年儿童0前冲安,75148012400018000002
9787500798095,迷湖豆和小人精--杨红樱优美童话0002数的14个故事[美绘,13.00,1,13,中国少年0人精-,75007980900013000000
9787500792468,飞龙火警--少年侦探系列83000000数的,13.00,1,13,中国少年0-少年,75007924600013000002
9787514800029,窗台上的朋友--王一梅童话珍藏版0002数的14个故事[美绘,22.80,1,22.8,少年儿童0友--,75148000200022800002
9787500789949,海怪鱼女孩--皮皮和神秘动物800002数的14个故,12.80,1,12.8,中国少年0--皮,75007899400012800002
9787514801149,完美的花朵--儿童文学金牌作家书系002数的14个故事[美绘版],19.00,1,19,少年儿童0--儿,75148011400019000002
9787500796978,鬼狗--儿童文学金牌作家书系000002数的14个故,19.00,1,19,中国少年0童文学,75007969700019000000
9787500795377,黑瓦(美绘版)--中国当代儿童文学名家丛书的14个故事[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000_,26.80,1,26.8,中国少年0版)-,75007953700026800000
9787500793618,云豹斑斑--儿童文学典藏书库人与动物系列丛书14个故事[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,19.00,1,19,中国少年0-儿童,75007936100019000000
9787514801408,殷健灵作品精选--儿童文学十大青年金作家丛书14个故事[美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,20.00,1,20,少年儿童0精选-,75148014000020000000
